id,full_name,first_name_x,last_name_x,is_active,person_id,first_name_y,last_name_y,school,country,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_city,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,edad,años_jugando,undrafted
77410,Plummer Lott,Plummer,Lott,0,77410.0,Plummer,Lott,Seattle,USA,6-5,210.0,2.0,43,Forward,Inactive,1610612760.0,SuperSonics,Seattle,1967.0,1968.0,N,Y,Y,1967,5,54,N,79.0,1.0,0
77411,Kevin Loughery,Kevin,Loughery,0,77411.0,Kevin,Loughery,St. John's (NY),USA,6-3,190.0,11.0,22,Guard,Inactive,1610612764.0,Bullets,Baltimore,1962.0,1972.0,N,Y,Y,1962,2,11,N,85.0,10.0,0
1629712,Didi Louzada,Didi,Louzada,0,1629712.0,Didi,Louzada,,Brazil,6-5,188.0,3.0,35,Guard,Inactive,1610612757.0,Trail Blazers,Portland,2020.0,2021.0,Y,Y,Y,2019,2,35,N,26.0,1.0,0
77412,Bob Love,Bob,Love,0,77412.0,Bob,Love,Southern,USA,6-8,215.0,11.0,10,Forward,Inactive,1610612741.0,Bulls,Chicago,1966.0,1976.0,N,Y,Y,1965,4,33,N,82.0,10.0,0
201567,Kevin Love,Kevin,Love,1,201567.0,Kevin,Love,UCLA,USA,6-8,251.0,15.0,0,Forward-Center,Active,1610612748.0,Heat,Miami,2008.0,2023.0,N,Y,Y,2008,1,5,N,37.0,15.0,0
77413,Stan Love,Stan,Love,0,77413.0,Stan,Love,Oregon,USA,6-9,215.0,4.0,34,Forward,Inactive,1610612764.0,Bullets,Baltimore,1971.0,1974.0,N,Y,Y,1971,1,9,N,76.0,3.0,0
77414,Clyde Lovellette,Clyde,Lovellette,0,77414.0,Clyde,Lovellette,Kansas,USA,6-9,234.0,11.0,34,Center,Inactive,1610612747.0,Lakers,Minneapolis,1953.0,1963.0,N,Y,Y,1952,1,9,N,96.0,10.0,0
77415,Sidney Lowe,Sidney,Lowe,0,77415.0,Sidney,Lowe,North Carolina State,USA,6-0,195.0,4.0,35,Guard,Inactive,1610612750.0,Timberwolves,Minnesota,1983.0,1989.0,N,Y,Y,1983,2,25,N,65.0,6.0,0
77416,Chuck Lowery,Chuck,Lowery,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
200768,Kyle Lowry,Kyle,Lowry,1,200768.0,Kyle,Lowry,Villanova,USA,6-0,196.0,17.0,7,Guard,Active,1610612748.0,Heat,Miami,2006.0,2023.0,N,Y,Y,2006,1,24,N,39.0,17.0,0
1628070,Jordan Loyd,Jordan,Loyd,0,1628070.0,Jordan,Loyd,Indianapolis,USA,6-4,210.0,2.0,8,Guard,Inactive,1610612761.0,Raptors,Toronto,2018.0,2018.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,32.0,0.0,0
77417,Al Lucas,Al,Lucas,0,77417.0,Al,Lucas,Fordham,USA,6-3,195.0,1.0,20,Forward,Inactive,1610612738.0,Celtics,Boston,1948.0,1948.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,103.0,0.0,0
77418,Jerry Lucas,Jerry,Lucas,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
77419,John Lucas,John,Lucas,0,77419.0,John,Lucas,Maryland,USA,6-3,175.0,14.0,10,Guard,Inactive,1610612745.0,Rockets,Houston,1976.0,1989.0,N,Y,Y,1976,1,1,N,72.0,13.0,0
203564,Kalin Lucas,Kalin,Lucas,0,203564.0,Kalin,Lucas,Michigan State,USA,6-1,195.0,3.0,24,Guard,Inactive,1610612763.0,Grizzlies,Memphis,2014.0,2018.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,36.0,4.0,0
77420,Maurice Lucas,Maurice,Lucas,0,77420.0,Maurice,Lucas,Marquette,USA,6-9,215.0,12.0,20,Forward,Inactive,1610612757.0,Trail Blazers,Portland,1976.0,1987.0,N,Y,Y,1974,1,14,N,73.0,11.0,0
101249,John Lucas III,John,Lucas III,0,101249.0,John,Lucas III,Oklahoma State,USA,5-11,166.0,8.0,,Guard,Inactive,0.0,,,2005.0,2016.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,42.0,11.0,0
77421,Ted Luckenbill,Ted,Luckenbill,0,77421.0,Ted,Luckenbill,Houston,USA,6-6,205.0,2.0,12,Forward,Inactive,1610612744.0,Warriors,San Francisco,1961.0,1962.0,N,Y,Y,1961,2,15,N,86.0,1.0,0
1731,Tyronn Lue,Tyronn,Lue,0,1731.0,Tyronn,Lue,Nebraska,USA,6-0,175.0,12.0,10,Guard,Inactive,1610612737.0,Hawks,Atlanta,1998.0,2008.0,N,Y,Y,1998,1,23,N,48.0,10.0,0
77422,Jim Luisi,Jim,Luisi,0,77422.0,Jim,Luisi,St. Francis (NY),USA,6-2,180.0,1.0,,Guard,Inactive,1610610024.0,Bullets,Baltimore,1953.0,1953.0,N,Y,Y,1951,6,56,N,97.0,0.0,0
77423,Al Lujack,Al,Lujack,0,77423.0,Al,Lujack,Georgetown,USA,6-3,220.0,1.0,,Forward,Inactive,1610610036.0,Capitols,Washington,1946.0,1946.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,104.0,0.0,0
77424,Phil Lumpkin,Phil,Lumpkin,0,77424.0,Phil,Lumpkin,Miami (Ohio),USA,6-0,165.0,2.0,10,Guard,Inactive,1610612757.0,Trail Blazers,Portland,1974.0,1975.0,N,Y,Y,1974,2,34,N,73.0,1.0,0
77425,Ray Lumpp,Ray,Lumpp,0,77425.0,Ray,Lumpp,New York University,USA,6-1,178.0,5.0,,Guard,Inactive,1610612752.0,Knicks,New York,1948.0,1952.0,N,Y,Y,1948,,,N,102.0,4.0,0
1630994,Gabriel Lundberg,Gabriel,Lundberg,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
1627789,Timothe Luwawu-Cabarrot,Timothe,Luwawu-Cabarrot,1,1627789.0,Timothe,Luwawu-Cabarrot,,France,6-7,215.0,7.0,7,Guard-Forward,Inactive,1610612737.0,Hawks,Atlanta,2016.0,2021.0,Y,Y,Y,2016,1,24,N,30.0,5.0,0
1628399,Tyler Lydon,Tyler,Lydon,0,1628399.0,Tyler,Lydon,Syracuse,USA,6-10,225.0,3.0,20,Forward,Inactive,1610612743.0,Nuggets,Denver,2017.0,2018.0,Y,Y,Y,2017,1,24,N,29.0,1.0,0
1626168,Trey Lyles,Trey,Lyles,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
